field_organization_name,field_address_1,field_city,field_state,Zip,field_phone,field_latitude,field_longitude,title,field_school_type,field_type
Holy Spirit Catholic School,601 James I Harrison Jr Pkwy E,Tuscaloosa,AL,35405,(205) 553-5606,33.1737,-87.5291,Holy Spirit Catholic School,private,school
John Carroll Catholic High School,300 Lakeshore Pkwy,Birmingham,AL,35209,(205) 940-2400,33.4582,-86.8021,John Carroll Catholic High School,private,school
Holy Family Cristo Rey Catholic High School,2001 19th Street Ensley,Birmingham,AL,35218,(205) 787-9937,33.5101,-86.8812,Holy Family Cristo Rey Catholic High School,private,school
Sacred Heart Catholic School,16 Morton Rd,Fort Mcclellan,AL,36205,(256) 237-4231,33.7178,-85.8141,Sacred Heart Catholic School,private,school
Montgomery Catholic Preparatory School,5350 Vaughn Rd,Montgomery,AL,36116,(334) 272-7220,32.3399,-86.2158,Montgomery Catholic Preparatory School,private,school
Huntsville Achievement School,406 1/2 Governors Dr SW,Huntsville,AL,35801,(256) 539-1772,34.7208,-86.5855,Huntsville Achievement School,private,school
Marengo Academy High School,2103 S Main St,Linden,AL,36748,(334) 295-4151,32.2848,-87.7938,Marengo Academy High School,private,school
Glenwood School,5801 Summerville Rd,Smiths Station,AL,36877,(334) 297-3614,32.5371,-85.05,Glenwood School,private,school
Mars Hill Bible School,698 Cox Creek Pkwy,Florence,AL,35630,(256) 767-1203,34.847,-87.6587,Mars Hill Bible School,private,school
Sumter Academy,181 Sumter Academy Rd,York,AL,36925,(205) 392-5238,32.5321,-88.2516,Sumter Academy,private,school
Lowndes Academy,215 South Broad St,Lowndesboro,AL,36752,(334) 278-3366,32.2759,-86.6129,Lowndes Academy,private,school
Escambia Academy,268 Cowpen Creek Rd,Atmore,AL,36502,(251) 368-2080,31.0302,-87.4079,Escambia Academy,private,school
Abbeville Christian Academy,258 ML Tillis Dr,Abbeville,AL,36310,(334) 585-5100,31.577,-85.2616,Abbeville Christian Academy,private,school
Grace Lutheran School,3321 S Memorial Pkwy,Huntsville,AL,35801,(256) 881-0553,34.6983,-86.5839,Grace Lutheran School,private,school
Episcopal Day School,156 S 9th St,Gadsden,AL,35901,(256) 546-9071,34.0144,-86.0145,Episcopal Day School,private,school
The Donoho School,2501 Henry Rd,Anniston,AL,36207,(256) 237-5477,33.6545,-85.7933,The Donoho School,private,school
Mobile Christian School,5900 Cottage Hill Rd,Mobile,AL,36609,(251) 661-1613,30.6439,-88.1795,Mobile Christian School,private,school
Indian Springs School,190 Woodward Dr,Indian Springs,AL,35124,(205) 988-3350,33.3404,-86.7713,Indian Springs School,private,school
Westminster Christian Academy,237 Johns Rd NW,Huntsville,AL,35806,(256) 705-8000,34.7597,-86.6759,Westminster Christian Academy,private,school
Athens Bible School,507 Hoffman St,Athens,AL,35611,(256) 232-3525,34.7975,-86.9558,Athens Bible School,private,school
